Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7JXl7bdGiIuSlRKAVoZopE,"Bug Like an Angel","Bug Like an Angel","Mitski",2023-07-26,212333,0,false,1257545316,2023-07-27T19:18:32Z,"","Dead Oceans",0.336,0.0615,8,-16.86,1,0.0357,0.904,0.00813,0.0939,0.0699,115.354,4
spotify:track:5411TEB6tlzvuF5A4oyldr,"Francis Forever","Bury Me At Makeout Creek","Mitski",2014-11-11,149680,74,false,1257545316,2023-07-27T19:18:47Z,"","Dead Oceans",0.535,0.448,2,-9.167,1,0.0279,0.00262,0.0000194,0.115,0.32,101.986,4
spotify:track:7g5qe8VITjr13RIe8uM2p6,"Your Best American Girl","Puberty 2","Mitski",2016-06-17,212183,69,false,1257545316,2023-07-27T19:18:51Z,"","Dead Oceans",0.362,0.258,7,-9.655,1,0.0315,0.0165,0.00714,0.231,0.133,77.021,4
spotify:track:47k7FCxk7ylTwKCnJ3QTVc,"Brand New City","Lush","Mitski",2012-01-31,132773,68,false,1257545316,2023-07-27T19:19:01Z,"","Good Harbor",0.482,0.829,5,-5.956,0,0.0587,0.0499,0,0.0824,0.657,148.119,4
spotify:track:7FHj19QQigvMH1onMYRNLn,"I Want You","Retired from Sad, New Career in Business","Mitski",2013-08-01,183792,73,false,1257545316,2023-07-27T19:19:11Z,"","Good Harbor",0.339,0.292,3,-11.294,1,0.0348,0.514,0,0.0713,0.0655,131.702,3
spotify:track:6TN7D8b2r2hWAFrk5D9oxX,"Townie","Bury Me At Makeout Creek","Mitski",2014-11-11,205080,60,false,1257545316,2023-07-27T19:19:13Z,"","Dead Oceans",0.31,0.884,1,-3.484,1,0.0566,0.0000113,0.00000303,0.121,0.276,137.762,4
spotify:track:5usQET86kxSpLdk7iCP1pw,"A Loving Feeling","Puberty 2","Mitski",2016-06-17,92089,60,false,1257545316,2023-07-27T19:19:29Z,"","Dead Oceans",0.316,0.76,9,-8.69,1,0.0564,0.0000135,0.0000738,0.166,0.337,147.212,4
spotify:track:07zVQBJfbOuaAhpT3stRFL,"Stay Soft","Laurel Hell","Mitski",2022-02-04,196433,55,false,1257545316,2023-07-27T19:19:51Z,"","Dead Oceans",0.602,0.678,7,-8.656,1,0.0299,0.0404,0.00075,0.121,0.552,104.969,4
spotify:track:171WZ8005jWCCvrefjPNxM,"Texas Reznikoff","Bury Me At Makeout Creek","Mitski",2014-11-11,132000,54,false,1257545316,2023-07-27T19:19:58Z,"","Dead Oceans",0.389,0.263,2,-9.752,1,0.0324,0.0613,0.00000119,0.0936,0.367,73.017,3
spotify:track:3jjsRKEsF42ccXf8kWR3nu,"Washing Machine Heart","Be the Cowboy","Mitski",2018-08-17,128198,83,false,1257545316,2023-07-27T19:20:04Z,"","Dead Oceans",0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,4
